,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
10,1958,TRON,TRX,tron,921,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88140585764.39207,88140607987.17664,True,,11,71659659264.0,8035739111.1225815,,2024-01-31T04:12:00.000Z,0.1121375568019137,215195122.7695972,-20.7011,0.20395812,-0.39282151,4.73296537,4.6641603,8.50233827,11.25889582,9883869942.708462,0.5983,9883872434.72,,2024-01-31T04:12:00.000Z,,,,,,2024-01-31 15:14:00.284458
11,1975,Chainlink,LINK,chainlink,1601,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,12,,,,2024-01-31T04:12:00.000Z,15.8951901779905,639899762.6140922,49.6741,0.35124403,5.91517976,12.64786671,6.15703774,3.9182481,36.55960949,9030057070.457829,0.5466,15895190177.99,,2024-01-31T04:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-31 15:14:00.284458
12,6636,Polkadot,DOT,polkadot-new,679,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1273651252.306437,1405911754.0147886,True,,13,,,,2024-01-31T04:12:00.000Z,6.798125076982804,208823556.30184895,-37.4771,-0.37683552,-3.16778414,8.35724546,-16.79916865,24.06232754,43.30772663,8658440517.634941,0.5241,9557563950.99,,2024-01-31T04:12:00.000Z,,,,,,2024-01-31 15:14:00.284458
13,3890,Polygon,MATIC,polygon,1263,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9603197469.087326,10000000000.0,False,,14,,,,2024-01-31T04:12:00.000Z,0.8065757207953619,333480317.55246115,5.7168,0.75084088,-0.33168088,12.37794747,-16.97569864,0.20541561,18.4787393,7745705920.569305,0.4689,8065757207.95,,2024-01-31T04:12:00.000Z,,,,,,2024-01-31 15:14:00.284458
14,11419,Toncoin,TON,toncoin,197,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3457848339.3951774,5102130896.821065,True,,15,3414166606.0,7073308532.788625,,2024-01-31T04:13:00.000Z,2.07175259706369,25920325.44792513,21.9008,-0.00547266,-2.06084492,-1.93536877,-10.01028847,-14.73509724,-7.13270149,7163806277.394327,0.4337,10570352936.05,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:14:00.284458
0,1,Bitcoin,BTC,bitcoin,10802,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19613731.0,19613731.0,False,,1,,,,2024-01-31T04:14:00.000Z,42974.30377396502,22888701218.36708,2.3156,0.19680645,-1.3108489,8.61464295,1.51847364,10.80896465,20.69209231,842886434134.8346,51.0267,902460379253.27,,2024-01-31T04:14:00.000Z,,,,,,2024-01-31 15:15:01.667115
1,1027,Ethereum,ETH,ethereum,8346,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120182821.04902385,120182821.04902385,True,,2,,,,2024-01-31T04:14:00.000Z,2343.7885358992467,10326134266.397146,11.1562,0.16794942,1.34405725,5.88636385,3.01107852,11.95368628,25.97542946,281683118186.7328,17.0526,281683118186.73,,2024-01-31T04:14:00.000Z,,,,,,2024-01-31 15:15:01.667115
2,825,Tether USDt,USDT,tether,73575,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96199943447.84976,99600769237.96013,True,,3,,,,2024-01-31T04:13:00.000Z,0.9997027932765524,40989735722.83824,8.2354,0.00230393,-0.00591901,0.03713946,-0.04827617,-0.07456386,-0.0844159,96171352177.86179,5.8223,99571167219.68,,2024-01-31T04:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-31 15:15:01.667115
3,1839,BNB,BNB,bnb,2045,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149547114.71549386,149547114.71549386,False,,4,,,,2024-01-31T04:13:00.000Z,306.9935771775917,765440535.8912127,-8.6645,0.05185164,-1.37959838,3.46496686,-1.02844635,33.84521847,32.95036262,45910003703.09712,2.7792,45910003703.1,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:15:01.667115
4,5426,Solana,SOL,solana,620,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,435752310.91212547,568387060.7455424,True,,5,,,,2024-01-31T04:14:00.000Z,100.87574390805398,3490571323.2015758,26.2207,0.29104742,-1.24247006,20.9242497,-2.40250796,65.17675918,135.91356875,43956838522.91428,2.661,57336467580.42,,2024-01-31T04:14:00.000Z,,,,,,2024-01-31 15:15:01.667115
